tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,is_ema20_in_downtrend,ema50,is_ema50_in_uptrend,is_ema50_in_downtrend,ema200,is_ema200_in_uptrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-01-14 11:55:00,8283.6,False,True,2015-01-14 11:55:00,8287.05,8287.5,8281.95,8283.6,0,8292.544771055584,False,True,8302.451358533539,False,True,8304.729918759265,False,True,0,26,0,5,SELL,-60.0,8429.3,2015-01-15 09:15:00,BUY,-8741.999999999935,91258.00000000006,0,s7_NIFTY 50
NIFTY 50,NSE,2015-01-15 09:50:00,8409.55,True,False,2015-01-15 09:50:00,8409.1,8414.95,8406.4,8409.55,0,8352.350509776274,True,False,8313.67752261901,True,False,8300.980646355187,True,False,11,0,5,0,BUY,54.0,8869.4,2015-01-29 09:20:00,SELL,24831.90000000002,116089.90000000008,1,s7_NIFTY 50
NIFTY 50,NSE,2015-01-29 12:15:00,8895.25,True,False,2015-01-29 12:15:00,8898.75,8900.0,8891.15,8895.25,0,8884.574984294914,True,False,8887.949674460531,True,True,8872.616604302893,True,False,5,0,251,0,BUY,65.0,8886.45,2015-01-30 11:05:00,SELL,-571.9999999999527,115517.90000000013,2,s7_NIFTY 50
NIFTY 50,NSE,2015-01-30 12:40:00,8833.6,False,True,2015-01-30 12:40:00,8834.8,8848.5,8830.95,8833.6,0,8854.4791263975,False,True,8877.77686228972,False,True,8882.849594779209,False,True,0,24,0,5,SELL,-65.0,8834.4,2015-02-02 13:35:00,BUY,-51.999999999952706,115465.90000000017,3,s7_NIFTY 50
NIFTY 50,NSE,2015-02-02 14:55:00,8783.8,False,True,2015-02-02 14:55:00,8779.5,8792.65,8776.7,8783.8,0,8793.83406125932,True,True,8791.591082279827,True,True,8825.14508569627,False,True,0,5,0,107,SELL,-65.0,8824.9,2015-02-03 09:35:00,BUY,-2671.5000000000236,112794.40000000014,4,s7_NIFTY 50
NIFTY 50,NSE,2015-02-03 11:50:00,8745.85,False,True,2015-02-03 11:50:00,8759.05,8759.05,8744.45,8745.85,0,8794.774504156296,False,True,8798.113808549146,False,True,8817.88889081637,False,True,0,5,0,145,SELL,-64.0,8778.55,2015-02-05 13:10:00,BUY,-2092.79999999993,110701.60000000021,5,s7_NIFTY 50
NIFTY 50,NSE,2015-02-05 14:15:00,8826.05,True,False,2015-02-05 14:15:00,8822.4,8829.2,8821.6,8826.05,0,8798.948653590016,True,False,8777.403468633418,True,False,8770.396044777513,True,False,28,0,5,0,BUY,62.0,8756.95,2015-02-05 14:55:00,SELL,-4284.19999999991,106417.4000000003,6,s7_NIFTY 50
NIFTY 50,NSE,2015-02-06 09:30:00,8707.1,False,True,2015-02-06 09:30:00,8712.85,8721.65,8706.4,8707.1,0,8742.421267044505,False,True,8759.448621233598,False,True,8766.847237797061,False,True,0,11,0,5,SELL,-61.0,8631.2,2015-02-10 11:15:00,BUY,4629.899999999978,111047.30000000028,7,s7_NIFTY 50
NIFTY 50,NSE,2015-02-10 12:30:00,8582.1,False,True,2015-02-10 12:30:00,8579.45,8583.25,8569.95,8582.1,0,8594.8991643924,False,True,8590.049339741972,False,True,8625.786883567487,False,True,0,5,0,191,SELL,-64.0,8610.75,2015-02-11 09:15:00,BUY,-1833.5999999999767,109213.7000000003,8,s7_NIFTY 50
NIFTY 50,NSE,2015-02-11 13:30:00,8619.7,True,False,2015-02-11 13:30:00,8637.0,8639.95,8614.95,8619.7,0,8625.040454280655,True,True,8612.591308266981,True,False,8609.032150900572,True,False,55,0,5,0,BUY,63.0,8618.15,2015-02-12 11:25:00,SELL,-97.65000000006876,109116.05000000024,9,s7_NIFTY 50
