tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-01-14 12:50:00+05:30,8244.3,False,True,268,2015-01-14 12:50:00+05:30,8250.75,8255.45,8243.4,8244.3,0,8268.599221157303,8286.883848358082,8292.048831062219,-1,True,True,False,True,True,True,0,37,0,5,SELL,-60.0,8292.2,2015-01-14 14:15:00+05:30,BUY,-2874.0000000000873,97125.99999999991,0,s7_NIFTY 50_
NIFTY 50,NSE,2015-01-15 09:45:00+05:30,8408.85,True,False,306,2015-01-15 09:45:00+05:30,8414.9,8421.95,8405.65,8408.85,0,8346.329510805353,8309.764519534927,8294.4184984507,1,True,True,True,False,False,False,10,0,5,0,BUY,57.0,8869.4,2015-01-29 09:20:00+05:30,SELL,26251.34999999996,123377.34999999987,1,s7_NIFTY 50_
NIFTY 50,NSE,2015-01-29 13:45:00+05:30,8896.75,True,False,952,2015-01-29 13:45:00+05:30,8893.15,8899.65,8891.3,8896.75,0,8887.536616420532,8887.466271939296,8874.905237823948,1,True,True,True,True,True,False,5,0,251,0,BUY,69.0,8886.45,2015-01-30 11:05:00+05:30,SELL,-710.6999999999498,122666.64999999992,2,s7_NIFTY 50_
NIFTY 50,NSE,2015-01-30 12:40:00+05:30,8833.6,False,True,1014,2015-01-30 12:40:00+05:30,8834.8,8848.5,8830.95,8833.6,0,8854.4791263975,8877.77686228972,8882.844989711179,-1,False,False,False,True,True,True,0,24,0,5,SELL,-69.0,8834.4,2015-02-02 13:35:00+05:30,BUY,-55.199999999949796,122611.44999999997,3,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-02 14:55:00+05:30,8783.8,False,True,1116,2015-02-02 14:55:00+05:30,8779.5,8792.65,8776.7,8783.8,0,8793.83406125932,8791.591082279827,8825.143425146158,-1,True,True,False,True,True,True,0,5,0,107,SELL,-69.0,8824.9,2015-02-03 09:35:00+05:30,BUY,-2835.900000000025,119775.54999999994,4,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-03 11:50:00+05:30,8745.85,False,True,1154,2015-02-03 11:50:00+05:30,8759.05,8759.05,8744.45,8745.85,0,8794.774504156296,8798.113808549146,8817.887755233827,-1,False,False,False,True,True,True,0,5,0,145,SELL,-68.0,8778.55,2015-02-05 13:10:00+05:30,BUY,-2223.599999999926,117551.95000000001,5,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-05 14:15:00+05:30,8826.05,True,False,1333,2015-02-05 14:15:00+05:30,8822.4,8829.2,8821.6,8826.05,0,8798.948653590016,8777.403468633418,8770.395855183284,1,True,True,True,True,True,True,28,0,5,0,BUY,66.0,8756.95,2015-02-05 14:55:00+05:30,SELL,-4560.599999999904,112991.35000000011,6,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-06 09:30:00+05:30,8707.1,False,True,1351,2015-02-06 09:30:00+05:30,8712.85,8721.65,8706.4,8707.1,0,8742.421267044505,8759.448621233598,8766.847079434883,-1,False,False,False,True,True,True,0,11,0,5,SELL,-64.0,8631.2,2015-02-10 11:15:00+05:30,BUY,4857.599999999977,117848.95000000008,7,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-10 12:30:00+05:30,8582.1,False,True,1537,2015-02-10 12:30:00+05:30,8579.45,8583.25,8569.95,8582.1,0,8594.8991643924,8590.049339741972,8625.786858915211,-1,False,False,False,True,True,True,0,5,0,191,SELL,-68.0,8610.75,2015-02-11 09:15:00+05:30,BUY,-1948.1999999999753,115900.75000000012,8,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-11 13:30:00+05:30,8619.7,True,False,1624,2015-02-11 13:30:00+05:30,8637.0,8639.95,8614.95,8619.7,0,8625.040454280655,8612.591308266981,8609.032140572543,1,True,True,True,True,False,False,55,0,5,0,BUY,67.0,8618.15,2015-02-12 11:25:00+05:30,SELL,-103.85000000007312,115796.90000000004,9,s7_NIFTY 50_
NIFTY 50,NSE,2015-02-12 13:55:00+05:30,8632.35,True,False,1704,2015-02-12 13:55:00+05:30,8638.2,8639.95,8627.85,8632.35,0,8621.201938703045,8621.28320242413,8617.87161883785,1,True,True,True,False,False,False,5,0,85,0,BUY,67.0,8820.5,2015-02-19 11:00:00+05:30,SELL,12606.049999999976,128402.95000000001,10,s7_NIFTY 50_
