tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-01-14 12:50:00+05:30,8244.3,False,True,268,2015-01-14 12:50:00+05:30,8250.75,8255.45,8243.4,8244.3,0,8268.599221157303,8286.883848358082,8292.048831062219,-1,True,True,False,True,True,True,0,37,0,5,SELL,-60.0,8429.3,2015-01-15 09:15:00+05:30,BUY,-11100.0,88900.0,0,s8_NIFTY 50
NIFTY 50,NSE,2015-01-15 09:45:00+05:30,8408.85,True,False,306,2015-01-15 09:45:00+05:30,8414.9,8421.95,8405.65,8408.85,0,8346.329510805353,8309.764519534927,8294.4184984507,1,True,True,True,False,False,False,10,0,5,0,BUY,52.0,8830.85,2015-01-30 11:40:00+05:30,SELL,21944.0,110844.0,1,s8_NIFTY 50
NIFTY 50,NSE,2015-01-30 12:40:00+05:30,8833.6,False,True,1014,2015-01-30 12:40:00+05:30,8834.8,8848.5,8830.95,8833.6,0,8854.4791263975,8877.77686228972,8882.844989711179,-1,False,False,False,True,True,True,0,24,0,5,SELL,-62.0,8807.35,2015-02-05 13:20:00+05:30,BUY,1627.5,112471.5,2,s8_NIFTY 50
NIFTY 50,NSE,2015-02-05 14:15:00+05:30,8826.05,True,False,1333,2015-02-05 14:15:00+05:30,8822.4,8829.2,8821.6,8826.05,0,8798.948653590016,8777.403468633418,8770.395855183284,1,True,True,True,True,True,True,28,0,5,0,BUY,63.0,8694.55,2015-02-05 15:20:00+05:30,SELL,-8284.5,104187.0,3,s8_NIFTY 50
NIFTY 50,NSE,2015-02-06 09:30:00+05:30,8707.1,False,True,1351,2015-02-06 09:30:00+05:30,8712.85,8721.65,8706.4,8707.1,0,8742.421267044505,8759.448621233598,8766.847079434883,-1,False,False,False,True,True,True,0,11,0,5,SELL,-59.0,8613.25,2015-02-11 11:05:00+05:30,BUY,5537.1500000000215,109724.15000000002,4,s8_NIFTY 50
NIFTY 50,NSE,2015-02-12 09:15:00+05:30,8662.95,True,False,1648,2015-02-12 09:15:00+05:30,8676.95,8681.4,8655.15,8662.95,0,8633.96305873318,8624.995527259474,8613.811354292793,1,True,True,True,False,False,False,79,0,29,0,BUY,63.0,8605.6,2015-02-12 12:30:00+05:30,SELL,-3613.050000000023,106111.1,5,s8_NIFTY 50
NIFTY 50,NSE,2015-02-12 14:00:00+05:30,8640.5,True,False,1705,2015-02-12 14:00:00+05:30,8632.2,8644.1,8631.5,8640.5,0,8623.039849302755,8622.036802329067,8618.096776859364,1,True,True,True,False,False,False,6,0,86,0,BUY,61.0,8804.3,2015-02-19 14:10:00+05:30,SELL,9991.799999999956,116102.89999999997,6,s8_NIFTY 50
NIFTY 50,NSE,2015-02-19 15:05:00+05:30,8891.4,True,False,2018,2015-02-19 15:05:00+05:30,8880.3,8892.35,8880.2,8891.4,0,8844.019853948113,8841.812488989292,8831.656092034546,1,True,True,True,True,True,False,6,0,280,0,BUY,65.0,8832.45,2015-02-23 11:50:00+05:30,SELL,-3831.749999999929,112271.15000000004,7,s8_NIFTY 50
NIFTY 50,NSE,2015-02-23 14:15:00+05:30,8771.4,False,True,2158,2015-02-23 14:15:00+05:30,8776.05,8782.1,8768.75,8771.4,0,8823.211522640808,8836.969359326604,8843.760694556142,-1,True,True,True,True,True,True,0,9,0,5,SELL,-63.0,8822.0,2015-02-25 09:55:00+05:30,BUY,-3187.800000000023,109083.35000000002,8,s8_NIFTY 50
NIFTY 50,NSE,2015-02-25 11:50:00+05:30,8825.6,True,False,2279,2015-02-25 11:50:00+05:30,8823.6,8826.7,8822.4,8825.6,0,8818.713841744046,8805.004927684642,8802.435432669967,1,True,True,True,True,True,True,32,0,5,0,BUY,61.0,8773.2,2015-02-25 14:15:00+05:30,SELL,-3196.399999999978,105886.95000000004,9,s8_NIFTY 50
