tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-01-14 12:50:00+05:30,8244.3,False,True,268,2015-01-14 12:50:00+05:30,8250.75,8255.45,8243.4,8244.3,0,8268.599221157303,8286.883848358082,8292.048831062219,-1,True,True,False,True,True,True,0,37,0,5,SELL,-60.0,8292.2,2015-01-14 14:15:00+05:30,BUY,-2874.0000000000873,97125.99999999991,0,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-01-15 09:45:00+05:30,8408.85,True,False,306,2015-01-15 09:45:00+05:30,8414.9,8421.95,8405.65,8408.85,0,8346.329510805353,8309.764519534927,8294.4184984507,1,True,True,True,False,False,False,10,0,5,0,BUY,57.0,8869.4,2015-01-29 09:20:00+05:30,SELL,26251.34999999996,123377.34999999987,1,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-01-29 13:45:00+05:30,8896.75,True,False,952,2015-01-29 13:45:00+05:30,8893.15,8899.65,8891.3,8896.75,0,8887.536616420532,8887.466271939296,8874.905237823948,1,True,True,True,True,True,False,5,0,280,0,BUY,69.0,8886.45,2015-01-30 11:05:00+05:30,SELL,-710.6999999999498,122666.64999999992,2,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-01-30 12:40:00+05:30,8833.6,False,True,1014,2015-01-30 12:40:00+05:30,8834.8,8848.5,8830.95,8833.6,0,8854.4791263975,8877.77686228972,8882.844989711179,-1,False,False,False,True,True,True,0,24,0,5,SELL,-69.0,8834.4,2015-02-02 13:35:00+05:30,BUY,-55.199999999949796,122611.44999999997,3,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-03 11:50:00+05:30,8745.85,False,True,1154,2015-02-03 11:50:00+05:30,8759.05,8759.05,8744.45,8745.85,0,8794.774504156296,8798.113808549146,8817.887755233827,-1,False,False,False,True,True,True,0,5,0,145,SELL,-70.0,8778.55,2015-02-05 13:10:00+05:30,BUY,-2288.9999999999236,120322.45000000004,4,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-05 14:15:00+05:30,8826.05,True,False,1333,2015-02-05 14:15:00+05:30,8822.4,8829.2,8821.6,8826.05,0,8798.948653590016,8777.403468633418,8770.395855183284,1,True,True,True,True,True,True,28,0,5,0,BUY,68.0,8756.95,2015-02-05 14:55:00+05:30,SELL,-4698.799999999901,115623.65000000014,5,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-06 09:30:00+05:30,8707.1,False,True,1351,2015-02-06 09:30:00+05:30,8712.85,8721.65,8706.4,8707.1,0,8742.421267044505,8759.448621233598,8766.847079434883,-1,False,False,False,True,True,True,0,11,0,5,SELL,-66.0,8631.2,2015-02-10 11:15:00+05:30,BUY,5009.399999999976,120633.05000000012,6,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-10 13:10:00+05:30,8569.65,False,True,1545,2015-02-10 13:10:00+05:30,8567.85,8575.1,8562.8,8569.65,0,8585.41393426831,8586.83554663047,8622.159785099115,-1,False,False,False,True,True,True,0,5,0,199,SELL,-70.0,8610.75,2015-02-11 09:15:00+05:30,BUY,-2877.0000000000255,117756.05000000009,7,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-12 09:15:00+05:30,8662.95,True,False,1648,2015-02-12 09:15:00+05:30,8676.95,8681.4,8655.15,8662.95,0,8633.96305873318,8624.995527259474,8613.811354292793,1,True,True,True,False,False,False,79,0,29,0,BUY,67.0,8618.15,2015-02-12 11:25:00+05:30,SELL,-3001.600000000073,114754.45000000001,8,s8_NIFTY 50_close_200_exit
NIFTY 50,NSE,2015-02-12 14:00:00+05:30,8640.5,True,False,1705,2015-02-12 14:00:00+05:30,8632.2,8644.1,8631.5,8640.5,0,8623.039849302755,8622.036802329067,8618.096776859364,1,True,True,True,False,False,False,6,0,86,0,BUY,66.0,8820.5,2015-02-19 11:00:00+05:30,SELL,11880.0,126634.45000000001,9,s8_NIFTY 50_close_200_exit
