tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-05 09:25:00,19175.85,False,True,2015-02-05 09:25:00,19198.05,19224.75,19164.05,19175.85,0,19220.24602838498,False,0,True,10,19252.20685052497,False,0,True,10,19317.397517273188,False,0,True,5,19476.413678490026,False,0,False,0,SELL,-1,19415.7,2015-02-05 14:00:00,BUY,0,s2
NIFTY BANK,NSE,2015-02-06 09:20:00,19114.95,False,True,2015-02-06 09:20:00,19022.6,19119.7,19022.6,19114.95,0,19173.22609264656,False,0,True,13,19227.81344578352,False,0,True,10,19255.875626320056,False,0,True,10,19353.2610762482,False,0,True,13,SELL,-1,18815.55,2015-02-10 09:45:00,BUY,1,s2
NIFTY BANK,NSE,2015-02-10 14:05:00,18442.4,False,True,2015-02-10 14:05:00,18503.4,18503.4,18437.95,18442.4,0,18650.998109500684,False,0,True,5,18690.372039341164,False,0,True,14,18693.751387050765,False,0,True,10,18773.91724893528,False,0,False,0,SELL,-1,18798.8,2015-02-10 15:20:00,BUY,2,s2
NIFTY BANK,NSE,2015-02-11 10:55:00,18959.85,True,False,2015-02-11 10:55:00,18950.25,18959.85,18944.1,18959.85,0,18942.327848526427,True,12,False,0,18849.16804403763,True,10,False,0,18784.731800676305,True,10,False,0,18798.0383358218,False,0,False,0,BUY,1,18854.6,2015-02-12 09:45:00,SELL,3,s2
NIFTY BANK,NSE,2015-02-12 12:55:00,18770.2,False,True,2015-02-12 12:55:00,18798.3,18803.2,18759.65,18770.2,0,18803.97685474088,False,0,True,12,18843.22566154741,False,0,True,10,18862.79084285612,False,0,False,0,18858.867681148564,False,0,True,19,SELL,-1,18854.95,2015-02-12 13:40:00,BUY,4,s2
NIFTY BANK,NSE,2015-02-12 14:35:00,18991.55,True,False,2015-02-12 14:35:00,18941.4,18995.45,18941.4,18991.55,0,18883.92891889566,True,17,False,0,18861.60847356362,True,12,False,0,18864.999924592325,True,12,False,0,18860.14257147937,True,12,False,0,BUY,1,19225.3,2015-02-16 15:05:00,SELL,5,s2
NIFTY BANK,NSE,2015-02-18 14:55:00,19361.3,True,False,2015-02-18 14:55:00,19356.3,19371.8,19352.8,19361.3,0,19322.79676977449,True,5,False,0,19291.889851998152,True,13,False,0,19284.963993617217,True,13,False,0,19251.30354484752,True,11,False,0,BUY,1,19257.55,2015-02-19 10:30:00,SELL,6,s2
NIFTY BANK,NSE,2015-02-19 11:05:00,19027.75,False,True,2015-02-19 11:05:00,19031.85,19072.9,19014.75,19027.75,0,19201.542706522603,False,0,True,9,19250.77425181825,False,0,True,12,19266.948008492847,False,0,True,11,19250.91292161614,False,0,True,8,SELL,-1,19214.4,2015-02-19 15:10:00,BUY,7,s2
NIFTY BANK,NSE,2015-02-20 15:20:00,19020.85,False,True,2015-02-20 15:20:00,19052.65,19056.8,19019.4,19020.85,0,19133.88269426674,False,0,True,19,19148.35140858003,False,0,True,10,19142.802411853507,False,0,True,7,19154.278602868264,False,0,True,7,SELL,-1,19181.4,2015-02-23 09:15:00,BUY,8,s2
NIFTY BANK,NSE,2015-02-23 11:40:00,19110.8,False,True,2015-02-23 11:40:00,19095.8,19112.05,19093.1,19110.8,0,19124.34641290304,False,0,True,10,19137.94149577852,False,0,True,10,19140.02946941426,False,0,True,10,19150.008042740184,False,0,True,10,SELL,-1,18984.25,2015-02-25 09:15:00,BUY,9,s2
