tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-04 13:40:00,19267.45,False,True,2015-02-04 13:40:00,19254.85,19278.1,19251.15,19267.45,0,19258.89551415629,True,10,False,0,19273.869173827763,False,0,True,5,19360.96903508105,False,0,False,0,19537.67111780832,False,0,True,17,0,5,0,251,SELL,-1,19415.7,2015-02-05 14:00:00,BUY,0,s6
NIFTY BANK,NSE,2015-02-05 15:10:00,19049.25,False,True,2015-02-05 15:10:00,19057.1,19084.05,19034.45,19049.25,0,19257.23631947021,False,0,True,8,19269.140324205306,False,0,True,5,19278.548086446328,False,0,True,5,19369.329131018807,False,0,True,8,0,5,0,251,SELL,-1,18815.55,2015-02-10 09:45:00,BUY,1,s6
NIFTY BANK,NSE,2015-02-10 13:20:00,18681.3,False,True,2015-02-10 13:20:00,18720.3,18724.8,18680.7,18681.3,0,18753.10341750537,False,0,True,16,18733.395088246914,False,0,True,5,18713.361869616845,False,0,False,0,18790.680327682858,False,0,True,15,0,5,0,251,SELL,-1,18798.8,2015-02-10 15:20:00,BUY,2,s6
NIFTY BANK,NSE,2015-02-11 10:30:00,19007.25,True,False,2015-02-11 10:30:00,19022.2,19023.2,18996.45,19007.25,0,18925.73987045535,True,7,False,0,18822.55075590804,True,5,False,0,18765.257734975075,True,5,False,0,18789.214003911628,True,18,False,0,25,0,6,0,BUY,1,18854.6,2015-02-12 09:45:00,SELL,3,s6
NIFTY BANK,NSE,2015-02-12 12:30:00,18764.85,False,True,2015-02-12 12:30:00,18817.9,18817.9,18764.85,18764.85,0,18812.00580252408,False,0,True,7,18854.536845719304,False,0,True,5,18870.20403816118,False,0,True,17,18862.274103160795,False,0,True,14,0,37,0,5,SELL,-1,18854.95,2015-02-12 13:40:00,BUY,4,s6
NIFTY BANK,NSE,2015-02-12 14:55:00,19041.7,True,False,2015-02-12 14:55:00,19070.5,19072.3,19021.25,19041.7,0,18941.88602917201,False,0,False,0,18890.92080933117,True,16,False,0,18879.984640063583,True,16,False,0,18867.97556364936,True,16,False,0,16,0,5,0,BUY,1,19225.3,2015-02-16 15:05:00,SELL,5,s6
NIFTY BANK,NSE,2015-02-18 14:25:00,19321.2,True,False,2015-02-18 14:25:00,19320.1,19330.2,19314.45,19321.2,0,19289.428552637528,True,19,False,0,19272.52539154174,True,7,False,0,19274.983696429576,True,7,False,0,19244.383931286902,True,5,False,0,7,0,224,0,BUY,1,19257.55,2015-02-19 10:30:00,SELL,6,s6
NIFTY BANK,NSE,2015-02-19 11:25:00,19061.7,False,True,2015-02-19 11:25:00,19041.3,19063.75,19035.25,19061.7,0,19152.512022545816,False,0,True,13,19221.543413308205,False,0,True,16,19250.51163643464,False,0,True,15,19243.15982592968,False,0,True,12,0,16,0,5,SELL,-1,19214.4,2015-02-19 15:10:00,BUY,7,s6
NIFTY BANK,NSE,2015-02-20 09:45:00,18971.7,False,True,2015-02-20 09:45:00,18940.3,18986.85,18936.1,18971.7,0,19033.975554862667,False,0,True,5,19055.22761615079,False,0,True,5,19106.56579830873,False,0,True,7,19155.23817358944,False,0,True,7,0,5,0,60,SELL,-1,19159.85,2015-02-20 11:20:00,BUY,8,s6
NIFTY BANK,NSE,2015-02-20 14:25:00,19191.1,True,False,2015-02-20 14:25:00,19189.3,19197.85,19175.9,19191.1,0,19191.591045387137,False,0,True,8,19167.27923106037,True,11,False,0,19149.13178068856,True,20,False,0,19158.431273425955,True,18,False,0,5,0,12,0,BUY,1,19149.6,2015-02-20 14:50:00,SELL,9,s6
NIFTY BANK,NSE,2015-02-23 11:15:00,19104.8,False,True,2015-02-23 11:15:00,19124.3,19124.3,19101.95,19104.8,0,19141.0533483854,False,0,True,5,19146.81462012942,False,0,True,5,19144.49026168253,False,0,True,5,19152.70187360201,False,0,True,5,0,5,0,28,SELL,-1,18984.25,2015-02-25 09:15:00,BUY,10,s6
NIFTY BANK,NSE,2015-02-25 12:40:00,18936.2,False,True,2015-02-25 12:40:00,18927.45,18940.0,18926.6,18936.2,0,18960.149613601483,False,0,True,12,18957.75903479894,False,0,True,5,18952.338900527848,False,0,True,5,18981.319536355622,False,0,True,12,0,5,0,195,SELL,-1,18779.6,2015-02-27 11:25:00,BUY,11,s6
NIFTY BANK,NSE,2015-02-27 13:25:00,18976.8,True,False,2015-02-27 13:25:00,18989.95,18995.1,18969.0,18976.8,0,18910.44534236153,True,10,False,0,18826.185283749488,True,11,False,0,18779.38555813788,True,10,False,0,18795.81361085153,True,5,False,0,51,0,7,0,BUY,1,19924.0,2015-03-04 14:25:00,SELL,12,s6
NIFTY BANK,NSE,2015-03-05 10:10:00,19580.35,False,True,2015-03-05 10:10:00,19594.85,19611.55,19576.75,19580.35,0,19661.34169773757,False,0,True,9,19817.481039152983,False,0,True,9,19910.850570219685,False,0,True,8,19875.90062678043,False,0,True,5,0,29,0,8,SELL,-1,19768.2,2015-03-05 15:05:00,BUY,13,s6
NIFTY BANK,NSE,2015-03-09 09:35:00,19303.65,False,True,2015-03-09 09:35:00,19358.85,19370.45,19303.65,19303.65,0,19544.95106129827,False,0,True,5,19576.773092973388,False,0,True,5,19653.29892412252,False,0,True,5,19723.773837954137,False,0,True,13,0,5,0,76,SELL,-1,19172.35,2015-03-12 09:15:00,BUY,14,s6
NIFTY BANK,NSE,2015-03-12 12:15:00,19099.4,False,True,2015-03-12 12:15:00,19122.75,19130.15,19099.4,19099.4,0,19141.432337788,False,0,True,17,19134.386965004567,False,0,True,5,19120.662961457136,False,0,False,0,19166.12851542264,False,0,True,17,0,5,0,251,SELL,-1,19175.8,2015-03-12 12:35:00,BUY,15,s6
NIFTY BANK,NSE,2015-03-12 14:55:00,19117.5,False,True,2015-03-12 14:55:00,19119.7,19134.15,19100.0,19117.5,0,19141.40324254698,False,0,True,9,19141.657836835573,False,0,True,9,19132.25335624461,False,0,False,0,19160.471063634734,False,0,True,5,0,9,0,251,SELL,-1,19295.75,2015-03-13 09:15:00,BUY,16,s6
NIFTY BANK,NSE,2015-03-13 10:35:00,19054.7,False,True,2015-03-13 10:35:00,19027.7,19066.95,19024.4,19054.7,0,19134.7343566147,False,0,True,7,19147.62230012653,False,0,True,7,19140.884167964567,False,0,True,7,19160.33940163746,False,0,True,7,0,7,0,5,SELL,-1,18939.3,2015-03-17 09:15:00,BUY,17,s6
