tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,date,open,high,low,close,volume,ema5,is_ema5_in_uptrend,ema5_uptrend_time_span,is_ema5_in_downtrend,ema5_downtrend_time_span,ema20,is_ema20_in_uptrend,ema20_uptrend_time_span,is_ema20_in_downtrend,ema20_downtrend_time_span,ema50,is_ema50_in_uptrend,ema50_uptrend_time_span,is_ema50_in_downtrend,ema50_downtrend_time_span,ema100,is_ema100_in_uptrend,ema100_uptrend_time_span,is_ema100_in_downtrend,ema100_downtrend_time_span,ema200,is_ema200_in_uptrend,ema200_uptrend_time_span,is_ema200_in_downtrend,ema200_downtrend_time_span,candle_cnt_ema20_above_ema50,candle_cnt_ema20_below_ema50,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,index,strategy
NIFTY BANK,NSE,2015-02-05 09:15:00,19140.5,False,True,2015-02-05 09:15:00,19170.15,19174.6,19102.95,19140.5,0,19160.358492380125,False,0,True,5,19227.74764132348,False,0,True,8,19257.661148777777,False,0,True,8,19322.725892640046,False,0,False,0,19482.262538044262,False,0,True,19,0,6,0,8,0,251,SELL,-1,19415.7,2015-02-05 14:00:00,BUY,0,s8
NIFTY BANK,NSE,2015-02-06 09:15:00,19014.85,False,True,2015-02-06 09:15:00,19066.25,19066.25,18968.5,19014.85,0,19044.27920769344,False,0,True,6,19179.36041818829,False,0,True,12,19232.42011703999,False,0,True,9,19258.72260868344,False,0,True,9,19355.656459786405,False,0,True,12,0,5,0,9,0,251,SELL,-1,18815.55,2015-02-10 09:45:00,BUY,1,s8
NIFTY BANK,NSE,2015-02-10 14:10:00,18463.65,False,True,2015-02-10 14:10:00,18442.4,18483.95,18409.9,18463.65,0,18512.201790525847,False,0,True,5,18633.155432405383,False,0,True,6,18681.480978974843,False,0,True,15,18689.19492396397,False,0,True,11,18770.830527241367,False,0,True,5,0,7,0,15,0,251,SELL,-1,18798.8,2015-02-10 15:20:00,BUY,2,s8
NIFTY BANK,NSE,2015-02-11 10:30:00,19007.25,True,False,2015-02-11 10:30:00,19022.2,19023.2,18996.45,19007.25,0,19005.658797704327,True,8,False,0,18925.73987045535,True,7,False,0,18822.55075590804,True,5,False,0,18765.257734975075,True,5,False,0,18789.214003911628,True,18,False,0,17,0,25,0,6,0,BUY,1,18854.6,2015-02-12 09:45:00,SELL,3,s8
NIFTY BANK,NSE,2015-02-12 12:55:00,18770.2,False,True,2015-02-12 12:55:00,18798.3,18803.2,18759.65,18770.2,0,18788.538275821287,False,0,True,6,18803.97685474088,False,0,True,12,18843.22566154741,False,0,True,10,18862.79084285612,False,0,False,0,18858.867681148564,False,0,True,19,0,40,0,42,0,10,SELL,-1,18854.95,2015-02-12 13:40:00,BUY,4,s8
NIFTY BANK,NSE,2015-02-12 15:15:00,19140.25,True,False,2015-02-12 15:15:00,19168.35,19174.2,19140.25,19140.25,0,19119.989209216707,True,8,False,0,19005.296758077777,True,5,False,0,18926.632864589414,True,20,False,0,18899.34900528764,True,20,False,0,18878.312398566806,True,20,False,0,14,0,20,0,9,0,BUY,1,19225.3,2015-02-16 15:05:00,SELL,5,s8
NIFTY BANK,NSE,2015-02-18 14:30:00,19360.2,True,False,2015-02-18 14:30:00,19321.2,19360.2,19319.4,19360.2,0,19337.25204727377,True,9,False,0,19296.16869048157,True,20,False,0,19275.96361148128,True,8,False,0,19276.67114797624,True,8,False,0,19245.53612548336,True,6,False,0,7,0,8,0,225,0,BUY,1,19257.55,2015-02-19 10:30:00,SELL,6,s8
NIFTY BANK,NSE,2015-02-19 11:30:00,19053.95,False,True,2015-02-19 11:30:00,19062.5,19069.0,19033.05,19053.95,0,19057.55516390527,False,0,True,8,19143.12516325574,False,0,True,14,19214.97112259024,False,0,True,17,19246.61932676854,False,0,True,16,19241.276390522355,False,0,True,13,0,12,0,17,0,6,SELL,-1,19214.4,2015-02-19 15:10:00,BUY,7,s8
NIFTY BANK,NSE,2015-02-23 11:20:00,19078.95,False,True,2015-02-23 11:20:00,19104.8,19105.3,19063.05,19078.95,0,19107.27938476132,False,0,True,8,19135.138743777265,False,0,True,6,19144.153262477284,False,0,True,6,19143.192434768585,False,0,True,6,19151.969138735625,False,0,True,6,0,5,0,6,0,29,SELL,-1,18984.25,2015-02-25 09:15:00,BUY,8,s8
NIFTY BANK,NSE,2015-02-25 13:50:00,18896.1,False,True,2015-02-25 13:50:00,18923.15,18924.25,18896.1,18896.1,0,18913.046651304205,False,0,True,9,18934.29675838104,False,0,True,6,18945.90184793096,False,0,True,19,18947.27769264213,False,0,True,19,18974.92460414109,False,0,True,6,0,9,0,10,0,209,SELL,-1,18779.6,2015-02-27 11:25:00,BUY,9,s8
